Penpoint Gunnel,Sharpnose Sculpin,Tidepool Sculpin,Crescent Gunnel,Saddleback Gunnel,Chum Salmon,Surf Smelt,Pink Salmon,Sand Lance,Chinook Salmon,Bay Pipefish,Starry Flounder,Cutthroat Trout,Three-Spined Stickleback,Coho Salmon,Staghorn Sculpin,Arrow Goby,Shiner Perch,Speckled Sanddab,Pacific Sand Lance,Plainfin Midshipman,Pile Perch,Northern Anchovy,Rainbow Trout,Padded Sculpin,C-O Sole,Buffalo Sculpin,Striped Perch,Eulachon,Code
0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,220610B1
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,220610B2
0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,6,0,85,0,0,1,0,0,0,0,0,0,0,0,220610D1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,76,0,0,0,0,0,0,0,0,0,0,0,220610D2
0,0,0,0,6,0,0,0,0,0,0,17,0,0,0,15,20,1,0,0,0,0,0,0,0,0,0,0,0,220624O1
0,0,0,1,1,0,0,0,0,0,0,3,0,1,0,41,19,0,0,0,0,0,0,0,0,0,0,0,0,220624O2
0,0,0,0,0,0,0,0,0,0,0,0.2,0.4,0,0.2,0.8,0,1.8,0,0,0,0,0,0,0,0,0,0,0,220624B1
0,0.8,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,100.6,0,0,0,0,0,0.8,0,0,0,0,0,220624B2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,220624D1
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,1,1,0,0,0,0,0,0,0,0,0,0,0,220624D2
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,2,0,0,0,0,0,0,0,0,0,0,0,0,220624S1
0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,220624S2
0,2,1,0,0,0,0,0,0,0,5,0,0,5,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,220624R1
0,6,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,220624R2
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,46,0,0,0,0,0,0,0,0,0,0,0,220711B1
0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,43,0,0,0,0,0,0,0,0,0,1,0,220711B2
1,3,0,28,3,0,0,0,0,0,9,1,0,0,0,27,0,54,0,0,0,0,0,0,1,0,0,0,0,220711D1
0,0,0,0,3,0,0,0,0,0,3,0,0,1,0,35,0,1,0,0,0,0,0,0,0,0,0,0,0,220711D2
0,14,1,22,0,0,0,0,0,0,13,5,0,5,0,10,4,267,0,0,3,0,0,0,0,2,0,0,0,220711R1
2,0,0,5,2,0,0,0,0,0,1,0,0,1,0,21,0,192,0,0,4,0,0,0,0,0,1,0,0,220711R2
0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,1,41,57,0,0,0,0,0,0,0,0,0,0,0,220719O1
0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,327,0,0,0,0,0,0,0,0,0,0,0,0,220719O2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,220719B1
0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,220719B2
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,16,0,0,0,0,0,0,0,0,0,0,0,220719D1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,1,0,0,0,0,0,0,0,0,0,0,0,220719D2
0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,214,0,0,0,0,0,0,0,0,0,0,0,0,220719S1
0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,600,0,0,0,0,0,0,0,0,0,0,0,0,220719S2
0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,220719R1
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,220719R2
0,3,1,0,0,0,0,0,0,0,0,1,0,2,0,1,1152,0,0,0,0,0,0,0,0,0,0,0,1,220808O1
0,5,0,0,0,0,0,0,0,0,0,1,0,5,0,0,1532,0,0,0,0,0,0,0,0,0,0,0,0,220808O2
0,3,0,0,2,0,0,0,0,0,2,0,0,0,0,13,10,91,4,0,3,0,0,0,0,0,0,0,0,220808B1
0,2,1,1,0,0,0,0,0,0,0,0,2,8,0,1,0,370,0,0,0,0,0,1,0,0,0,0,0,220808B2
0,1,0,0,1,0,0,0,0,0,3,1,0,2,0,1,52,0,0,0,2,0,0,0,0,0,0,0,0,220808D1
0,0,0,0,0,0,0,0,0,0,7,0,0,1,0,2,16,0,0,0,0,0,0,0,0,0,0,0,0,220808D2
4,6,2,0,0,0,0,0,0,0,3,0,0,2,0,1,1,2,0,0,2,0,0,0,0,0,0,0,0,220808R1
0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,220808R2
0,0,14,0,0,0,0,0,0,0,0,0,0,2,0,6,1948,0,0,0,0,0,26,0,0,0,0,0,0,220823O1
0,0,94,0,0,0,0,0,0,0,0,0,0,9,0,0,1281,0,0,0,1,0,1,0,0,0,0,0,0,220823O2
0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,220823B1
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,220823B2
1,1,0,0,3,0,0,0,0,0,2,0,0,6,0,3,1495,0,0,0,0,0,0,0,0,0,0,0,0,220823D1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,458,0,0,0,0,0,0,0,0,0,0,0,0,220823D2
0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,71,0,0,0,0,0,237,0,0,0,0,0,0,220823S1
0,0,0,0,0,0,0,0,0,0,0,0,0,83,0,2,323,0,0,0,0,0,2161,0,0,0,0,0,0,220823S2
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,220823R1
0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,7,2,0,0,0,0,0,0,0,0,0,0,0,220823R2
