H,Abundance,Richness,Site,DSJ,Year,Code
0.36764947740014225,66,3,S,155,2010,100604S1
1.2742599530204912,22,5,S,169,2010,100618S1
0.38797114598224114,83,4,S,181,2010,100630S1
0.8279190004061416,174,4,S,197,2010,100716S1
0.42092447641795827,565,5,S,210,2010,100729S1
0.05388292294983791,408,6,S,225,2010,100813S1
0.7400918798030491,175,4,S,243,2010,100831S1
0.6365141682948128,6,2,B,155,2010,100604B1
0.3625010217396757,33,3,B,169,2010,100618B1
0.9448431788652298,28,5,B,181,2010,100630B1
0,894,1,B,197,2010,100716B1
1.3862943611198906,8,5,B,210,2010,100729B1
0.9743147528693494,8,3,B,225,2010,100813B1
0.47413931305783746,2,2,R,155,2010,100604R1
0.025686969041977117,50,2,R,169,2010,100618R1
0.12308573689001873,89,3,R,181,2010,100630R1
0.04628811994522685,126,2,R,197,2010,100716R1
1.4882408357580272,19,6,R,210,2010,100729R1
0.4498949856518161,40,2,R,225,2010,100813R1
0,10,1,R,243,2010,100831R1
0.4505612088663047,1,2,D,155,2010,100604D1
0,1,1,D,169,2010,100618D1
0,0,1,D,181,2010,100630D1
0.10847133903591605,44,2,D,197,2010,100716D1
0,30,1,D,210,2010,100729D1
0.18092062209218637,219,3,D,225,2010,100813D1
0.08364970461058928,122,2,D,243,2010,100831D1
0.9160681370152876,17,4,O,155,2010,100604O1
0.20619205063323187,19,2,O,169,2010,100618O1
0.5225866172886308,211,5,O,181,2010,100630O1
0.9804686122759545,77,4,O,197,2010,100716O1
0.5872105171533213,196,5,O,210,2010,100729O1
0.11964511435864934,1565,5,O,225,2010,100813O1
0.03361681561019521,2860,3,O,243,2010,100831O1
1.386165945282466,23,11,O,161,2022,220610O1
1.3592367006650063,10,5,B,161,2022,220610B1
0.46100349291028636,96,4,D,161,2022,220610D1
0.9827699128527038,138,5,S,161,2022,220610S1
0.7752632217977893,97,5,R,161,2022,220610R1
1.374985204042381,59,5,O,175,2022,220624O1
1.2622431674900145,3,5,B,175,2022,220624B1
0,33,1,D,175,2022,220624D1
0.6870920273799715,13,3,S,175,2022,220624S1
0.9402626353183398,46,5,R,175,2022,220624R1
1.603441912506626,59,8,O,192,2022,220711O1
0.2020863392725082,48,3,B,192,2022,220711B1
1.5051228729977404,127,9,D,192,2022,220711D1
0.45684414813192903,81,3,S,192,2022,220711S1
0.9925745879067173,346,11,R,192,2022,220711R1
0.9324597162183188,105,5,O,200,2022,220719O1
0,4,1,B,200,2022,220719B1
0.7751292747786216,21,4,D,200,2022,220719D1
0.07291715040368289,217,2,S,200,2022,220719S1
0.48439011623800354,26,4,R,200,2022,220719R1
0.05839468337416376,1161,7,O,220,2022,220808O1
1.0882189547891343,128,8,B,220,2022,220808B1
0.7854664890188607,63,8,D,220,2022,220808D1
2.042592104175594,23,9,R,220,2022,220808R1
0.13946453953368776,1996,5,O,235,2022,220823O1
0.3245083869310707,26,3,B,235,2022,220823B1
0.07565512493551049,1511,7,D,235,2022,220823D1
0.6327442143122979,314,4,S,235,2022,220823S1
1.0114042647073518,6,3,R,235,2022,220823R1
